,0,1,2,3
0,Spending Agency Budget Framework Paper,2023/24,"Uganda Mission in Havana, Cuba.pdf",https://budget.finance.go.ug/sites/default/files/Sector%20Spending%20Agency%20Budgets%20and%20Performance/Uganda%20Mission%20in%20Havana%2C%20Cuba_0.pdf
1,Circulars and Instructions,2023/24,1ST BUDGET CALL CIRCULAR FY 2023-24.pdf,https://budget.finance.go.ug/sites/default/files/1ST%20BUDGET%20CALL%20CIRCULAR%20FY%202023-24.pdf
2,Spending Agency Budget Framework Paper,2023/24,Office of the President.pdf,https://budget.finance.go.ug/sites/default/files/Sector%20Spending%20Agency%20Budgets%20and%20Performance/Office%20of%20the%20President_5.pdf
3,Spending Agency Budget Framework Paper,2023/24,State House.pdf,https://budget.finance.go.ug/sites/default/files/Sector%20Spending%20Agency%20Budgets%20and%20Performance/State%20House_7.pdf
4,Spending Agency Budget Framework Paper,2023/24,Office of the Prime Minister.pdf,https://budget.finance.go.ug/sites/default/files/Sector%20Spending%20Agency%20Budgets%20and%20Performance/Office%20of%20the%20Prime%20Minister_6.pdf
5,Spending Agency Budget Framework Paper,2023/24,Ministry of Public Service.pdf,https://budget.finance.go.ug/sites/default/files/Sector%20Spending%20Agency%20Budgets%20and%20Performance/Ministry%20of%20Public%20Service_9.pdf
6,Spending Agency Budget Framework Paper,2023/24,Ministry of Defence.pdf,https://budget.finance.go.ug/sites/default/files/Sector%20Spending%20Agency%20Budgets%20and%20Performance/Ministry%20of%20Defence_9.pdf
7,Spending Agency Budget Framework Paper,2023/24,Ministry of Foreign Affairs.pdf,https://budget.finance.go.ug/sites/default/files/Sector%20Spending%20Agency%20Budgets%20and%20Performance/Ministry%20of%20Foreign%20Affairs_10.pdf
8,Spending Agency Budget Framework Paper,2023/24,"Ministry of Finance, Planning and Economic Development.pdf",https://budget.finance.go.ug/sites/default/files/Sector%20Spending%20Agency%20Budgets%20and%20Performance/Ministry%20of%20Finance%2C%20Planning%20and%20Economic%20Development_5.pdf
9,Spending Agency Budget Framework Paper,2023/24,"Ministry of Lands, Housing and Urban Development.pdf",https://budget.finance.go.ug/sites/default/files/Sector%20Spending%20Agency%20Budgets%20and%20Performance/Ministry%20of%20Lands%2C%20Housing%20and%20Urban%20Development_4.pdf
10,Spending Agency Budget Framework Paper,2023/24,Ministry of Justice and Constitutional Affairs.pdf,https://budget.finance.go.ug/sites/default/files/Sector%20Spending%20Agency%20Budgets%20and%20Performance/Ministry%20of%20Justice%20and%20Constitutional%20Affairs_8.pdf
11,Spending Agency Budget Framework Paper,2023/24,Ministry of Internal Affairs.pdf,https://budget.finance.go.ug/sites/default/files/Sector%20Spending%20Agency%20Budgets%20and%20Performance/Ministry%20of%20Internal%20Affairs_8.pdf
12,Spending Agency Budget Framework Paper,2023/24,"Ministry of Agriculture, Animal Industry and Fisheries.pdf",https://budget.finance.go.ug/sites/default/files/Sector%20Spending%20Agency%20Budgets%20and%20Performance/Ministry%20of%20Agriculture%2C%20Animal%20Industry%20and%20Fisheries_2.pdf
13,Spending Agency Budget Framework Paper,2023/24,Ministry of Local Government.pdf,https://budget.finance.go.ug/sites/default/files/Sector%20Spending%20Agency%20Budgets%20and%20Performance/Ministry%20of%20Local%20Government_8.pdf
14,Spending Agency Budget Framework Paper,2023/24,Ministry of Education.pdf,https://budget.finance.go.ug/sites/default/files/Sector%20Spending%20Agency%20Budgets%20and%20Performance/Ministry%20of%20Education.pdf
15,Spending Agency Budget Framework Paper,2023/24,Ministry of Health.pdf,https://budget.finance.go.ug/sites/default/files/Sector%20Spending%20Agency%20Budgets%20and%20Performance/Ministry%20of%20Health_9.pdf
16,Spending Agency Budget Framework Paper,2023/24,"Ministry of Trade, Industry and Co-operatives.pdf",https://budget.finance.go.ug/sites/default/files/Sector%20Spending%20Agency%20Budgets%20and%20Performance/Ministry%20of%20Trade%2C%20Industry%20and%20Co-operatives_2.pdf
17,Spending Agency Budget Framework Paper,2023/24,Ministry of Works and Transport.pdf,https://budget.finance.go.ug/sites/default/files/Sector%20Spending%20Agency%20Budgets%20and%20Performance/Ministry%20of%20Works%20and%20Transport_9.pdf
